users,tweets,show,rocauc,rec,prec,mood,list_friends,label,filter,f1,collect_tweets,collect,benchmark,acc,<user_ids_file>,<track_file>,<settings_file>,<output_tweets>,<output_dir>,<labeled_tweets>,<input_tweets>,<input_dir>,-u,-p,-m,--top-features,--stopwords,--roc,--reduce-func,--proba,--no-rt,--no-TA,--no-DD,--no-AH,--n-folds,--n-examples,--min-df,--liwc,--k-features,--help,--features-func,--emoticons,--each,--count,--clf-options,--clf,--binary,--begin-line
False,False,False,0.691067393738,0.419063987308,0.82678776108,True,False,False,False,0.552153545968,False,False,True,0.80787037037,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.92,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.690512303667,0.949709148599,0.399989189026,True,False,False,False,0.562705988923,False,False,True,0.579166666667,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.13,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.62533174916,0.983818085669,0.348748578169,True,False,False,False,0.514908033769,False,False,True,0.471296296296,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.04,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.766160761502,0.623611845584,0.738596873553,True,False,False,False,0.672665041695,False,False,True,0.827314814815,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.69,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.743247852095,0.897752511898,0.466160837458,True,False,False,False,0.612999248225,False,False,True,0.676851851852,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.22,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.662489715467,0.354124801692,0.836475172337,True,False,False,False,0.493706089024,False,False,True,0.794907407407,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.95,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.786615272617,0.704680063458,0.685758094107,True,False,False,False,0.69312906429,False,False,True,0.821759259259,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.54,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.782132109033,0.753384452671,0.617911140875,True,False,False,False,0.676872876686,False,False,True,0.794444444444,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.45,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.762010823655,0.878265468006,0.498438233357,True,False,False,False,0.635114021845,False,False,True,0.712037037037,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.26,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.719846985378,0.931914331042,0.431037388925,True,False,False,False,0.588855848125,False,False,True,0.628703703704,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.17,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.770694952853,0.636567953464,0.73339705019,True,False,False,False,0.678236849265,False,False,True,0.828240740741,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.66,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.781003729216,0.758249603384,0.611532404016,True,False,False,False,0.674645665541,False,False,True,0.790740740741,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.44,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.699355113422,0.436938127975,0.826556622012,True,False,False,False,0.568200723348,False,False,True,0.812037037037,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.91,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.731530523945,0.524590163934,0.780513184453,True,False,False,False,0.62399235517,False,False,True,0.82037037037,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.82,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.783918218218,0.748519301957,0.626433486601,True,False,False,False,0.68006504094,False,False,True,0.799074074074,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.46,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.658320994183,0.974061343205,0.37167265508,True,False,False,False,0.537946347746,False,False,True,0.522685185185,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.08,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.606551505079,0.990296139609,0.337075679424,True,False,False,False,0.502919143311,False,False,True,0.441666666667,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.02,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
