users,tweets,show,rocauc,rec,prec,most_similar,mood,list_friends,label,filter,f1,collect_tweets,collect,benchmark,acc,<users_dir>,<user_ids_file>,<track_file>,<settings_file>,<output_tweets>,<output_dir>,<labeled_tweets>,<input_tweets>,<input_dir>,<friends_dir>,-u,-p,-m,--top-features,--stopwords,--roc,--reduce-func,--proba,--no-rt,--n-folds,--n-examples,--min-df,--liwc,--k-features,--help,--features-func,--emoticons,--each,--count,--clf-options,--clf,--binary,--begin-line
False,False,False,0.568751635068,0.146598924459,0.730727513228,False,True,False,False,False,0.240139892208,False,False,True,0.875095949844,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.97,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.595163847249,0.203358783965,0.730834644658,False,True,False,False,False,0.310074115591,False,False,True,0.87903942883,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.92,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.754677191158,0.662330344939,0.412690037976,False,True,False,False,False,0.506330216315,False,False,True,0.82284679015,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.13,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.692840391697,0.854852508571,0.245238359106,False,True,False,False,False,0.377586748831,False,False,True,0.582881594317,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.04,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.64650025595,0.325075076276,0.611347672671,False,True,False,False,False,0.419459483226,False,False,True,0.879883906649,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.69,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.731978178571,0.566857525782,0.47248466149,False,True,False,False,False,0.511718379147,False,False,True,0.852843929533,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.22,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.579873637787,0.170646911494,0.72470964221,False,True,False,False,False,0.27073781365,False,False,True,0.876505995375,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.95,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.669923341668,0.384973559516,0.578350235239,False,True,False,False,False,0.456980781045,False,False,True,0.877346897423,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.54,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.684171143687,0.42268751445,0.557438369046,False,True,False,False,False,0.4762120659,False,False,True,0.874386755346,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.45,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.725015666216,0.539260477933,0.495016624366,False,True,False,False,False,0.512583899624,False,False,True,0.860870938521,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.26,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
